Data,IE00B5BD5K76
04/1985,30216.602039164318
05/1985,32013.797922088805
06/1985,31826.253496080768
07/1985,33126.235240242335
08/1985,33628.36009433246
09/1985,34734.280340237405
10/1985,36218.62307120244
11/1985,38296.407632300645
12/1985,39023.32492482473
01/1986,38947.124410181015
02/1986,41860.79361520938
03/1986,44038.8948502537
04/1986,48386.32556579354
05/1986,43342.29146783354
06/1986,45414.57536231994
07/1986,43707.68941918974
08/1986,47135.373247189826
09/1986,43805.12289731596
10/1986,43585.239143091305
11/1986,46392.71805105749
12/1986,46886.458303055944
01/1987,46021.77320691262
02/1987,46826.28893212331
03/1987,49062.035787292385
04/1987,50320.59980776246
05/1987,49437.31529851494
06/1987,51760.91785847332
07/1987,54277.6450593149
08/1987,55157.15335086341
09/1987,54072.54745980776
10/1987,43476.568646787935
11/1987,39052.22548509052
12/1987,40069.99504150776
01/1988,38830.46692987968
02/1988,42304.6083159038
03/1988,42880.62019862667
04/1988,43417.80357054341
05/1988,43026.547751181904
06/1988,44174.60999889417
07/1988,46504.189435192
08/1988,45388.053224000556
09/1988,47507.045650914166
10/1988,50624.63136002693
11/1988,49217.5655353709
12/1988,49528.9855401134
01/1989,53357.97262414426
02/1989,53404.129527513694
03/1989,54147.687146723096
04/1989,55956.48870264127
05/1989,55368.36921509654
06/1989,58686.73696403121
07/1989,62731.256429848756
08/1989,62902.07861299491
09/1989,64961.06426209815
10/1989,58413.08117147644
11/1989,60768.58805328771
12/1989,64535.143044265766
01/1990,62472.3554825167
02/1990,60164.363064722595
03/1990,62078.76557693147
04/1990,59651.856183495416
05/1990,63451.70547030122
06/1990,66120.15772573055
07/1990,66822.8313550497
08/1990,57541.33560617785
09/1990,50844.54285351625
10/1990,53511.10767224909
11/1990,52973.54280225281
12/1990,52820.139341766255
01/1991,54728.93129063884
02/1991,58522.8921721347
03/1991,59423.674403104196
04/1991,61928.52277586338
05/1991,64604.8580519375
06/1991,61382.91673075226
07/1991,65716.59866435034
08/1991,65437.55289551787
09/1991,65534.701020703505
10/1991,64066.99029087339
11/1991,60215.89511237276
12/1991,62854.42796841567
01/1992,63273.479790480575
02/1992,64917.30761614723
03/1992,64313.50241396774
04/1992,67244.83125981182
05/1992,69708.9865139681
06/1992,66446.42824449769
07/1992,61019.00383288103
08/1992,59281.34271102236
09/1992,59642.785055673805
10/1992,57784.17818230026
11/1992,61534.91542965165
12/1992,62900.73046979013
01/1993,64231.67998936696
02/1993,66579.88283799446
03/1993,70344.02989367812
04/1993,69443.39787805491
05/1993,70357.76583178682
06/1993,71347.29919585284
07/1993,74622.64970833555
08/1993,81784.86834718559
09/1993,78282.51649829117
10/1993,82494.50647605403
11/1993,82874.6262373907
12/1993,89050.30788958994
01/1994,94846.8218644461
02/1994,91128.08543518752
03/1994,86710.56051736714
04/1994,90555.73193856665
05/1994,84835.29386300102
06/1994,82574.3927808317
07/1994,84216.94325077102
08/1994,86980.87507835719
09/1994,82629.42410596526
10/1994,84574.2068811145
11/1994,82537.02960603556
12/1994,84696.96418365864
01/1995,82309.35585109837
02/1995,83246.01987295388
03/1995,83717.30091780526
04/1995,84734.66925173557
05/1995,87798.5344701843
06/1995,87879.46261122562
07/1995,91378.3789900698
08/1995,90497.9998909802
09/1995,94420.39239111122
10/1995,92504.6539462045
11/1995,93356.03186075775
12/1995,97832.03435288521
01/1996,99658.97760219281
02/1996,102049.28737305316
03/1996,103195.14941858432
04/1996,104819.46570916346
05/1996,106902.0385603553
06/1996,107232.05545261978
07/1996,104270.95931450122
08/1996,106383.10868374344
09/1996,109554.12862110451
10/1996,112437.0806347921
11/1996,116609.17253574924
12/1996,121489.12220384255
01/1997,125121.93805164049
02/1997,132288.26484450253
03/1997,138134.81948875482
04/1997,138184.05159016704
05/1997,143632.33122686206
06/1997,152500.8782575883
07/1997,164076.63565985314
08/1997,159100.64489122026
09/1997,169938.56443485268
10/1997,158634.93976315466
11/1997,157744.52445228686
12/1997,167908.09125435597
01/1998,178906.49623057691
02/1998,192454.0801238965
03/1998,206903.78293669212
04/1998,209471.01978140298
05/1998,210441.66788193802
06/1998,214274.80577248445
07/1998,219007.0900528251
08/1998,190660.9378810686
09/1998,174482.88808463654
10/1998,181473.47622966618
11/1998,196643.98116087867
12/1998,203916.00729812164
01/1999,209206.6718093279
02/1999,210652.8089614578
03/1999,218405.4885381592
04/1999,227972.55246214612
05/1999,219931.03570174426
06/1999,226396.5800806637
07/1999,220660.11279924036
08/1999,225434.34674278245
09/1999,221748.0334806285
10/1999,234551.86349316573
11/1999,249350.7050652897
12/1999,276282.88002453535
01/2000,263265.12183847564
02/2000,279167.84362212085
