Data,IE00B9MRHC27
03/1987,68056.30080579431
04/1987,71211.28088178676
05/1987,67760.96191568562
06/1987,70852.6916487772
07/1987,76185.83739796258
08/1987,81405.04911371096
09/1987,80767.85503515483
10/1987,66919.95627689136
11/1987,58339.24163767098
12/1987,58656.94382332468
01/1988,61999.82797031561
02/1988,66334.34708046837
03/1988,70100.31371658895
04/1988,71246.99778148424
05/1988,74276.02834310409
06/1988,74895.59773414768
07/1988,79395.98705753702
08/1988,76211.7654542659
09/1988,79096.75706138853
10/1988,84509.56507547235
11/1988,84889.94930247839
12/1988,88929.04032122865
01/1989,95952.09758395315
02/1989,99469.16205286453
03/1989,103437.04160624181
04/1989,107551.72113608063
05/1989,108976.59457854438
06/1989,116884.35978950637
07/1989,122071.73726464162
08/1989,119569.75344116031
09/1989,120334.0748049883
10/1989,110292.57630093161
11/1989,110122.12068583698
12/1989,116718.38367980215
01/1990,115920.8971918146
02/1990,112249.62033607681
03/1990,112260.6733117741
04/1990,108764.05990311765
05/1990,117500.37829645214
06/1990,121369.56199133428
07/1990,124967.33695819059
08/1990,107186.98043405765
09/1990,89712.19110231205
10/1990,90443.27794886645
11/1990,84383.3840741875
12/1990,84194.5436585608
01/1991,90579.62339395589
02/1991,96876.31785087271
03/1991,101068.1417040394
04/1991,100679.07802925866
05/1991,108032.55139595643
06/1991,106755.12415402444
07/1991,112760.51343018022
08/1991,109487.4228420488
09/1991,104574.42537203869
10/1991,101621.28206681028
11/1991,92210.47367323497
12/1991,94515.79506018049
01/1992,95891.72755508409
02/1992,93746.74518006218
03/1992,96416.65529212561
04/1992,95825.72988509093
05/1992,101147.41385491517
06/1992,93694.63274554034
07/1992,86981.1123211003
08/1992,78155.21302584033
09/1992,73255.56349593733
10/1992,71342.68748111
11/1992,81765.58599382151
12/1992,80075.94782306028
01/1993,82661.86376368761
02/1993,85358.8318967142
03/1993,88486.66050449165
04/1993,93498.29534544345
05/1993,99341.33105389586
06/1993,97644.12069392944
07/1993,103616.58298441542
08/1993,113009.05301349946
09/1993,110155.84374525843
10/1993,121381.4813796769
11/1993,113960.25104790796
12/1993,123399.93174598471
01/1994,144508.69039661426
02/1994,140717.02275533386
03/1994,130991.72108548073
04/1994,138764.74395294988
05/1994,131697.15362618412
06/1994,126622.2512761281
07/1994,132074.11334211682
08/1994,131472.86681068057
09/1994,129704.77480466651
10/1994,137105.2345123277
11/1994,133284.46287375654
12/1994,137557.72499654
01/1995,135444.29168112576
02/1995,135437.5118517941
03/1995,128115.32485777377
04/1995,136441.28344477355
05/1995,141490.35522282624
06/1995,147037.68734981233
07/1995,156051.34934470794
08/1995,155275.00865568733
09/1995,170231.44920836278
10/1995,158601.3182803676
11/1995,161271.89306207726
12/1995,159082.96956460827
01/1996,159376.35637583974
02/1996,169112.0127481808
03/1996,170668.60436433324
04/1996,172024.43810263125
05/1996,180989.36598406307
06/1996,180735.91580608528
07/1996,173715.13567068632
08/1996,182721.137170887
09/1996,188732.74083048478
10/1996,196498.21886602938
11/1996,205892.33984267362
12/1996,215765.18884062924
01/1997,229661.93059495382
02/1997,236895.96557821153
03/1997,248155.8187052225
04/1997,235403.86832744358
05/1997,250341.44745659857
06/1997,269196.1929750601
07/1997,292088.7786072015
08/1997,284753.7555134747
09/1997,312634.3290376456
10/1997,283274.4717599412
11/1997,277066.53753740026
12/1997,281303.19731643033
01/1998,292985.8469555491
02/1998,317923.3760947034
03/1998,343271.6601255123
04/1998,359048.98878918914
05/1998,357100.1804828772
06/1998,359441.8926297082
07/1998,368992.3613448804
08/1998,306242.4219608056
09/1998,277636.43839831976
10/1998,290549.29963012325
11/1998,313695.6326401281
12/1998,326951.67235749634
01/1999,357646.5238751567
02/1999,351741.4205533914
03/1999,379977.99907655554
04/1999,400426.1797647092
05/1999,391214.54456256056
06/1999,433479.5094935382
07/1999,433707.7452836423
08/1999,434032.8359408128
09/1999,440284.3832037396
10/1999,500833.08798412257
11/1999,585868.1485100365
12/1999,713471.3814604058
01/2000,726441.0356658249
02/2000,829525.0644927842
03/2000,843144.7182743405
04/2000,883072.8024216013
05/2000,818151.2837814089
06/2000,787532.618053461
07/2000,761333.1421967725
08/2000,785631.8358916264
09/2000,722236.3406369678
10/2000,722569.8172664391
11/2000,668376.3901354085
12/2000,653190.4778713458
01/2001,638467.9293000946
02/2001,515358.6542128526
03/2001,476733.7005034799
04/2001,560923.2226457957
05/2001,548405.4221560378
06/2001,494985.8858394153
07/2001,479930.40406271326
08/2001,410002.14515633794
09/2001,368746.1640957751
10/2001,414586.37778178183
11/2001,462301.6842645226
12/2001,487686.0906562713
01/2002,457521.3644619617
02/2002,455065.0762613693
03/2002,465310.06978224334
04/2002,402930.26946250646
05/2002,378192.0604100509
06/2002,353481.83053183084
07/2002,310605.39895140607
08/2002,313855.2005772081
09/2002,277510.8694123251
10/2002,319675.17913529015
11/2002,355441.3317833784
12/2002,302964.80023785203
01/2003,277377.47155693534
02/2003,269349.89653036365
03/2003,269964.001000927
04/2003,313259.0178213086
05/2003,310845.5090079134
06/2003,315504.73550942476
07/2003,324273.81812585646
08/2003,350278.71310779743
09/2003,329816.46084719594
10/2003,361281.1723330964
11/2003,362867.4092690655
12/2003,359598.0810105557
