Data,IE00B4JY5R22
08/2021,199833.07690296863
09/2021,194703.49179833787
10/2021,207133.02608357824
11/2021,210769.92668960558
12/2021,220901.91100446344
01/2022,212627.9723642142
02/2022,205435.79508527584
03/2022,214912.03350185743
04/2022,206578.70564000352
05/2022,203582.79476613944
06/2022,192608.1990026471
07/2022,214235.79134047087
08/2022,209533.9240437027
09/2022,195120.6520409598
10/2022,207355.36856214196
11/2022,209161.90526952493
12/2022,191718.70302125506
01/2023,200593.63852948078
02/2023,199611.2754626064
03/2023,202036.84844315014
04/2023,203177.72447639206
05/2023,209720.96849534026
06/2023,219779.78940917068
07/2023,223574.44392564514
08/2023,223117.35391936766
09/2023,217939.70051881016
10/2023,212820.30326345097
11/2023,225593.38751645215
12/2023,233266.6764914278
01/2024,241811.45562029906
02/2024,254943.71165561143
03/2024,263471.1906863071
04/2024,254860.74061361715
