Data,DE000A1EK0G3
07/1980,162287.25416848305
08/1980,166698.92947301705
09/1980,175991.72084332057
10/1980,165940.9059235267
11/1980,163419.0108713958
12/1980,155362.1806112044
01/1981,133411.2208542021
02/1981,128736.1573791738
03/1981,135188.64920841035
04/1981,126964.81284184742
05/1981,125981.87714472778
06/1981,111921.94970571742
07/1981,106612.36978440237
08/1981,111549.20086820006
09/1981,112478.61349915928
10/1981,111964.21513255962
11/1981,108631.52510190634
12/1981,104777.97681200995
01/1982,101321.17672702037
02/1982,94883.15192329678
03/1982,83689.16989870013
04/1982,94436.07978075425
05/1982,84978.71757433476
06/1982,82912.07838167004
07/1982,89504.27954699933
08/1982,107366.34961604171
09/1982,103530.29975271515
10/1982,110324.91465636638
11/1982,113594.10373367828
12/1982,116664.69652137041
01/1983,130018.56823349126
02/1983,106267.57595246274
03/1983,107841.20863264489
04/1983,111558.40376395412
05/1983,113647.6586558623
06/1983,108006.81123641125
07/1983,109511.49843423236
08/1983,107446.48439726848
09/1983,104994.42906947728
10/1983,98980.16021938731
11/1983,104891.03341647469
12/1983,98753.19215149639
01/1984,96698.5120526228
02/1984,101954.8334926574
03/1984,100417.72968789947
04/1984,97085.71885487932
05/1984,99220.9928247049
06/1984,96280.14639921185
07/1984,88309.47266148822
08/1984,89787.96383802198
09/1984,88583.60032238378
10/1984,85898.64481836995
11/1984,84697.35913904241
12/1984,79326.73349214198
01/1985,78863.1800616185
02/1985,73963.76942420511
03/1985,84594.63737462748
04/1985,82523.28757690216
05/1985,80595.21973052138
06/1985,81518.11627611607
07/1985,83979.37920655662
08/1985,85412.5364609537
09/1985,83448.27932782994
10/1985,83240.7382909908
11/1985,83251.02090767024
12/1985,83645.15443559806
01/1986,89615.22501520716
02/1986,86413.53786546302
03/1986,87866.00669215809
04/1986,88269.79867213701
05/1986,87575.38565492234
06/1986,88438.19203166933
07/1986,91136.48516021347
08/1986,98025.69707745577
09/1986,107787.71514009267
10/1986,102080.44901227689
11/1986,99102.76528451039
12/1986,99410.2499543901
01/1987,101802.76081419516
02/1987,103112.61982597326
03/1987,106911.02021394488
04/1987,115048.19530097721
05/1987,114420.51369024078
06/1987,113425.55205817778
07/1987,117224.17392339528
08/1987,114860.07387708388
09/1987,116348.91739615775
10/1987,118646.54370172619
