Data,DE000ETFL300
09/2020,120963.97504773142
10/2020,119081.59973365633
11/2020,130755.96585215123
12/2020,132868.4865766436
01/2021,132946.45360682017
02/2021,135071.3449067293
03/2021,141059.71766778428
04/2021,134748.56492389968
05/2021,135454.31143412428
06/2021,138607.3356929285
07/2021,136714.03698083232
08/2021,141532.83020862468
09/2021,148569.83962122138
10/2021,142696.61252631628
11/2021,142573.5060353412
12/2021,145689.18876254218
01/2022,140344.89293761767
02/2022,138184.57082447087
03/2022,138646.65300189814
04/2022,133111.74816453902
05/2022,133051.94111830968
06/2022,126340.42938763896
07/2022,135962.91521037873
08/2022,135057.08895100598
09/2022,124137.15034650962
10/2022,125624.69971829178
11/2022,131594.37900838375
12/2022,128302.80470434109
01/2023,134121.783917214
02/2023,131516.4798558489
03/2023,133457.0811270824
04/2023,132596.94295459645
05/2023,138776.2204413892
06/2023,141968.5191306154
07/2023,144111.94849527083
08/2023,142566.11839945338
09/2023,143122.13224149751
10/2023,136294.76990411928
11/2023,143674.97193503904
12/2023,148272.8425480672
01/2024,158107.23507694434
02/2024,162944.27560289408
03/2024,168028.15736547732
04/2024,161183.99456469942
