Data,IE00B3SC9K16
07/2021,1539524.2002954432
08/2021,1592399.492281899
09/2021,1550427.0008743093
10/2021,1648973.6456137663
11/2021,1672675.3510881767
12/2021,1744253.9705663377
01/2022,1670352.7057502088
02/2022,1614982.1126442663
03/2022,1686318.5587311455
04/2022,1614851.3198916495
05/2022,1585092.1242156331
06/2022,1499318.3161551282
07/2022,1669355.196878145
08/2022,1635514.5295373362
09/2022,1521986.2970821245
10/2022,1615109.964473795
11/2022,1626954.155650984
12/2022,1489455.654408976
01/2023,1562797.2410691543
02/2023,1556036.8338093094
03/2023,1573180.0315977654
04/2023,1577568.7245771815
05/2023,1631925.8176218786
06/2023,1711224.6173620832
07/2023,1744703.81737632
08/2023,1739540.8955982917
09/2023,1700638.4819800546
10/2023,1657379.8376906398
11/2023,1761683.9934900373
12/2023,1824599.315093721
01/2024,1889214.0029133426
02/2024,1992373.4466380784
03/2024,2058348.9590576647
04/2024,1990249.6231780844
