Data,DE000A2T0VU5
05/1986,21374.93956729689
06/1986,21682.665683908883
07/1986,21699.370528023443
08/1986,22649.551509714667
09/1986,24721.565798688312
10/1986,23164.329756476014
11/1986,22730.370248987147
12/1986,22487.549462030154
01/1987,21657.122432349963
02/1987,21558.83235027542
03/1987,22326.79350637022
04/1987,23723.62202331122
05/1987,23319.6762950395
06/1987,23542.650890914174
07/1987,24694.315773668823
08/1987,24395.762127949674
09/1987,24078.953006883974
10/1987,24387.987049727235
11/1987,24072.190400342763
12/1987,23055.59498391037
01/1988,21932.05398907139
02/1988,20995.59037695122
03/1988,22206.900697418747
04/1988,21688.827598131382
05/1988,22218.060782560067
06/1988,22083.249895364326
07/1988,23207.66724136048
08/1988,23234.48171117672
09/1988,21389.223361437875
10/1988,21683.856821864614
11/1988,21338.004908259856
12/1988,20728.906939455635
01/1989,20699.65460412218
02/1989,20581.763450120496
03/1989,20513.33317552365
04/1989,20320.539529216636
05/1989,20306.66667299894
06/1989,21310.227655243674
07/1989,20121.480729313043
08/1989,19958.656014370346
09/1989,20639.50623305323
10/1989,20336.78353131773
11/1989,21797.573666430813
12/1989,20531.60029406643
01/1990,20625.67340474116
02/1990,19989.58129524321
03/1990,18381.498046298784
04/1990,18106.88564144629
05/1990,17581.33170436739
06/1990,17168.864445021987
07/1990,17598.505239702823
08/1990,17519.92492615419
09/1990,18481.12502258257
10/1990,16667.390983177414
11/1990,16565.666371123207
12/1990,17026.979458278365
01/1991,15975.408779719048
02/1991,15565.742497291852
03/1991,16610.905148355076
04/1991,17597.237140252186
05/1991,17962.14547976153
06/1991,19040.451047337643
07/1991,18777.730335063923
08/1991,17579.821385625168
09/1991,17461.222470368608
10/1991,17560.85139729236
11/1991,17319.933337131417
12/1991,16176.760441688813
01/1992,16320.584546775057
02/1992,16631.38325588331
03/1992,16522.18496328135
04/1992,16114.34727244686
05/1992,15857.966270613855
06/1992,15671.06021776064
07/1992,15551.288710473049
08/1992,14400.665537636021
09/1992,15121.183966701059
10/1992,15307.900742469206
11/1992,16065.669275319642
12/1992,15990.417802291098
01/1993,16180.335713410064
02/1993,16438.02456655638
03/1993,17030.805499531743
04/1993,17252.355077077475
05/1993,18422.356338612684
06/1993,19007.442137255457
07/1993,21030.605861032058
08/1993,19595.173127959846
09/1993,18000.367326870466
10/1993,18931.299081710156
11/1993,19505.271849585424
12/1993,20531.878741084718
01/1994,20127.999385673964
02/1994,20241.219181262095
03/1994,20217.14681145436
04/1994,19608.506127476918
05/1994,19752.428490457954
06/1994,19461.309214109482
07/1994,18652.13020281143
08/1994,18755.86191165893
09/1994,18989.777285639597
10/1994,18105.089370631216
11/1994,18335.69291876964
12/1994,18678.638577389665
01/1995,17930.53978552228
02/1995,17802.538721667344
03/1995,17817.270331605083
04/1995,17373.40205026259
05/1995,17392.53260382424
06/1995,17368.23030688405
07/1995,16999.70306670674
08/1995,17466.17018089396
09/1995,17763.97400422366
10/1995,17423.485772848908
11/1995,17693.529812806923
12/1995,17920.104156121917
01/1996,19019.118108010403
02/1996,18894.436834831147
03/1996,18676.890599555554
04/1996,18593.339204262084
05/1996,18780.028387223447
06/1996,18223.62315584627
07/1996,18099.020408658344
08/1996,17985.75317024005
09/1996,17789.207924821043
10/1996,17865.419688328675
11/1996,17252.373157838345
12/1996,17548.515512112095
01/1997,16850.08163124104
02/1997,18248.40734670656
03/1997,17919.53906641138
04/1997,17600.336328994224
05/1997,17824.94188981359
06/1997,17446.20397307692
07/1997,17489.483495157932
08/1997,17930.598649672884
09/1997,17819.888629916728
10/1997,16403.20401908454
11/1997,15309.932288267197
12/1997,15318.099991132329
01/1998,16516.139323619576
02/1998,16074.53649593897
03/1998,16326.667853740697
04/1998,16736.22978096678
05/1998,15571.731716533377
06/1998,15826.720904053445
07/1998,15462.909971324867
08/1998,14573.826929556702
09/1998,14930.988095332848
10/1998,14301.326673397642
11/1998,14833.825219858256
12/1998,14374.361411482765
01/1999,14736.059472343482
02/1999,15311.381416791395
03/1999,15286.684890889223
04/1999,15890.037903015242
05/1999,15090.49635861769
06/1999,14842.981418305451
